movieId,title,genres,imdbId,movieIndex
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,tt0114709,16
2,Jumanji (1995),Adventure|Children|Fantasy,tt0113497,221
3,Grumpier Old Men (1995),Comedy|Romance,tt0113228,435
4,Waiting to Exhale (1995),Comedy|Drama|Romance,tt0114885,1769
5,Father of the Bride Part II (1995),Comedy,tt0113041,522
6,Heat (1995),Action|Crime|Thriller,tt0113277,99
7,Sabrina (1995),Comedy|Romance,tt0114319,335
8,Tom and Huck (1995),Adventure|Children,tt0112302,2290
9,Sudden Death (1995),Action,tt0114576,1334
10,GoldenEye (1995),Action|Adventure|Thriller,tt0113189,110
11,"American President, The (1995)",Comedy|Drama|Romance,tt0112346,164
12,Dracula: Dead and Loving It (1995),Comedy|Horror,tt0112896,1708
13,Balto (1995),Adventure|Animation|Children,tt0112453,2123
14,Nixon (1995),Drama,tt0113987,721
15,Cutthroat Island (1995),Action|Adventure|Romance,tt0112760,1945
16,Casino (1995),Crime|Drama,tt0112641,189
17,Sense and Sensibility (1995),Drama|Romance,tt0114388,86
18,Four Rooms (1995),Comedy,tt0113101,922
19,Ace Ventura: When Nature Calls (1995),Comedy,tt0112281,433
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,tt0113845,1472
21,Get Shorty (1995),Comedy|Crime|Thriller,tt0113161,118
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,tt0112722,472
23,Assassins (1995),Action|Crime|Thriller,tt0112401,1159
24,Powder (1995),Drama|Sci-Fi,tt0114168,653
25,Leaving Las Vegas (1995),Drama|Romance,tt0113627,126
26,Othello (1995),Drama,tt0114057,1122
27,Now and Then (1995),Children|Drama,tt0114011,1842
28,Persuasion (1995),Drama|Romance,tt0114117,854
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,tt0112682,366
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,tt0115012,1873
31,Dangerous Minds (1995),Drama,tt0112792,514
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,tt0114746,25
33,Wings of Courage (1995),Adventure|Romance|IMAX,tt0114952,8479
34,Babe (1995),Children|Drama,tt0112431,55
35,Carrington (1995),Drama|Romance,tt0112637,1743
36,Dead Man Walking (1995),Crime|Drama,tt0112818,97
37,Across the Sea of Time (1995),Documentary|IMAX,tt0112286,8146
38,It Takes Two (1995),Children|Comedy,tt0113442,3748
39,Clueless (1995),Comedy|Romance,tt0112697,138
40,"Cry, the Beloved Country (1995)",Drama,tt0112749,2154
41,Richard III (1995),Drama|War,tt0114279,690
42,Dead Presidents (1995),Action|Crime|Drama,tt0112819,2055
43,Restoration (1995),Drama,tt0114272,1333
44,Mortal Kombat (1995),Action|Adventure|Fantasy,tt0113855,849
45,To Die For (1995),Comedy|Drama|Thriller,tt0114681,562
46,How to Make an American Quilt (1995),Drama|Romance,tt0113347,1286
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,tt0114369,23
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,tt0114148,502
49,When Night Is Falling (1995),Drama|Romance,tt0114916,4940
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,tt0114814,11
51,Guardian Angel (1994),Action|Drama|Thriller,tt0109950,11214
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,tt0113819,416
